Timestamp,LeftPosX,LeftPosY,LeftPosZ,LeftRotX,LeftRotY,LeftRotZ,LeftRotW,LeftVelX,LeftVelY,LeftVelZ,RightPosX,RightPosY,RightPosZ,RightRotX,RightRotY,RightRotZ,RightRotW,RightVelX,RightVelY,RightVelZ
113.8641,0.7673541,1.242242,0.04414216,0.8225482,-0.5537705,0.1252629,-0.03258711,0.6145148,-0.3662726,-0.1436962,0.4686588,1.286869,-0.228037,-0.8137776,-0.4738084,-0.2544718,-0.2202631,-0.5050201,-0.2491552,-1.040051
113.9785,0.8281153,1.232099,0.07305276,0.7991152,-0.560618,0.2003473,-0.08356656,0.5474821,-0.06175842,0.2704294,0.3472877,1.294984,-0.3078,-0.8628387,-0.4765005,-0.1079483,-0.1296299,-1.139915,0.08867547,-0.6683131
114.0932,0.8634816,1.223365,0.1114186,0.7823514,-0.5691305,0.2320165,-0.1009219,0.3533024,-0.1139641,0.3381546,0.1909689,1.302671,-0.3376901,-0.8755587,-0.4785202,0.03369319,-0.05727232,-1.528873,0.06443872,-0.2719077
114.2058,0.8837953,1.215334,0.1365421,0.7694632,-0.5787451,0.2452686,-0.1132427,0.2053117,-0.08399082,0.2328149,0.02327709,1.309302,-0.3232966,-0.8571316,-0.4835374,0.1766021,0.01813111,-1.637669,0.0699966,0.2033912
114.3191,0.9014778,1.2081,0.1516129,0.7613531,-0.582083,0.2549382,-0.1285585,0.168848,-0.06484735,0.1398029,-0.1180689,1.308114,-0.2582453,-0.8258042,-0.4751607,0.2925715,0.08168037,-1.337616,-0.00549171,0.6705225
114.4318,0.9163718,1.201535,0.1578697,0.7565471,-0.5855632,0.2556515,-0.1392641,0.1400311,-0.05084069,0.05978652,-0.2189146,1.295359,-0.15909,-0.7803727,-0.4770116,0.3858924,0.1206877,-0.9665411,-0.1353141,0.9766322
114.5461,0.925608,1.19402,0.1588244,0.7490674,-0.5919142,0.2550096,-0.1533155,0.0837703,-0.06042387,0.01409381,-0.2859448,1.274081,-0.04250967,-0.7122918,-0.4812168,0.4840094,0.1637243,-0.627678,-0.2267685,1.14539
114.6601,0.9273624,1.181828,0.1632953,0.7353943,-0.6041564,0.2576697,-0.1667234,0.02160672,-0.1017917,0.050033,-0.3058957,1.230102,0.07093375,-0.6598094,-0.4607994,0.572938,0.1551057,-0.1369239,-0.409806,0.9657331
114.7739,0.9225006,1.169865,0.1705609,0.7352659,-0.603914,0.2614209,-0.1622686,-0.0413354,-0.1068536,0.05663714,-0.2737881,1.185302,0.1018432,-0.6447366,-0.4615135,0.6029446,0.08819221,0.3335105,-0.436873,0.2707827
114.8889,0.9113657,1.171661,0.1681392,0.7552255,-0.5888311,0.2477596,-0.1467234,-0.1240103,0.02351763,-0.03846617,-0.1906371,1.146719,0.03939815,-0.6727942,-0.5055607,0.5399405,-0.01485507,0.9161274,-0.3636831,-0.6229718
115.569,0.8788197,1.349309,-0.002027646,0.9179013,-0.3383091,0.1961079,-0.06742305,0.7837361,-0.1778245,0.04608589,0.7095987,1.362026,-0.2140117,-0.7399321,-0.4384045,-0.4645289,-0.2109857,0.0629952,-0.02478878,-0.7895656
115.679,0.9656636,1.349989,0.0545684,0.8853762,-0.3320849,0.2984479,-0.1294507,0.85534,0.01458052,0.5800412,0.6301295,1.355991,-0.3272274,-0.8201316,-0.4434457,-0.3316054,-0.1441457,-0.799203,-0.07732477,-1.111853
115.7894,1.033956,1.339025,0.1524983,0.8320051,-0.3427768,0.3990743,-0.1761001,0.6902881,-0.1078742,0.9627092,0.4914061,1.349395,-0.4168305,-0.8420734,-0.4877586,-0.2128252,-0.0878029,-1.344698,-0.09610052,-0.8696212
115.9001,1.066464,1.309126,0.2636246,0.8026168,-0.3240584,0.468779,-0.1761778,0.3233117,-0.3077249,1.058657,0.3216881,1.322696,-0.4524353,-0.8478107,-0.5210525,-0.0876798,-0.04509574,-1.634452,-0.2755454,-0.3651651
116.0114,1.067885,1.286043,0.3667971,0.7681581,-0.3152355,0.5282398,-0.1775451,0.05954957,-0.1836416,0.9849661,0.1718938,1.295599,-0.4297436,-0.8505818,-0.5256414,0.001502067,-0.01447064,-1.431155,-0.2628525,0.169839
